unique_id,Name,Address,City,State,is_closed
CZPUJBVW,EZMAN AUTO SALES,208 1/2 BROOKLYN ST,CARBONDALE,PA,N
ROHGXPVF,VILLA MARSEILLE MAINTENANCE,23511 ALISO CREEK RD,ALISO VIEJO,CA,N
YKOXCQNL,Green Benefits,677 120TH AVE NE STE 2A,BELLEVUE,WA,N
EFIKHGBZ,McDonald's,107 W MONROE ST,COZAD,NE,N
BPIKVCAY,Touch It Up,2109 W FAIRWAY DR,BRANDON,MS,N
CZGVHWMT,Strick Corp,70 WALNUT ST,WELLESLEY,MA,Y
BXYDROPC,Salute! Ristorante-Enoteca,23 N LEMON AVE,SARASOTA,FL,N
LAZBMYCH,Tybee Island Social Club,1311 BUTLER AVE,TYBEE ISLAND,GA,N
GMJFBZPN,PARADISE BAKERY & CAFE,1006 THE SHOPS AT MISSION VIEJO,MISSION VIEJO,CA,N
CJDZLHYQ,LINCOLNTON BAPTIST CHURCH,215 S PEACHTREE ST,LINCOLNTON,GA,N
MLEKXRWZ,BOULDER HOUSING PARTNERS,4800 BROADWAY ST,BOULDER,CO,N
AKCUDBQS,ROYAL WOOD WORKING,1791 SPORTSMAN LN NW,HUNTSVILLE,AL,N
KOIYGCJB,Chevron,2435 E GREENWAY PKWY,PHOENIX,AZ,N
BDMHSQIX,All-Lifts Inc,27-39 THATCHER ST,ALBANY,NY,N
ZAKTGMEX,SHECHINAH THE CHURCH,5405 N FIVE MILE RD,BOISE,ID,N
PTONUGJX,DEGROOT BUILDERS INC.,3213 NICOLET DR,GREEN BAY,WI,Y
FLSZHNXE,T&L Automotive,3508 VALLEY PIKE RD,CEDAR PARK,TX,Y
DXEPUFAH,Union M B Church,610 N HOMAN AVE,CHICAGO,IL,N
UHCSDJQP,K & S TREES & GARDENS,2255 THRUSHWOOD CIR,VICTORIA,MN,N
NTCIKLPX,Nordstrom West County,47 W COUNTY CTR,DES PERES,MO,N
XFSTVYDN,Northwest Painting Co.,12094 W PONTLER CT,BOISE,ID,N
PLDFBTIV,West Egg Catering,121 W HILLGROVE AVE,LA GRANGE,IL,N
RUIMPSJC,Jefferson National Bank,4300 S LABURNUM AVE,RICHMOND,VA,N
XIYZHJLO,Unique Boutique,304 E 22ND ST,FREMONT,NE,Y
PLUVATFR,Ocean Grove Tire & Auto,127 MACOMBER AVE,SWANSEA,MA,Y
GXFCJRYA,ACCEPTANCE LOAN CO.,1805 E THREE NOTCH ST STE 4,ANDALUSIA,AL,N
DLCHEMOG,EASTS DE PREMIER NEPHROLOGY & HYPERTENSION,4179 BAKER ST NE,COVINGTON,GA,Y
ISXBKHQG,California State of,2720 GATEWAY OAKS DR,SACRAMENTO,CA,N
KGOYVSME,HARTFORD CITY WIC,547 PARK ST,HARTFORD,CT,N
JCURNTMX,Grant Wood Area,1221 WARFORD ST,PERRY,IA,Y
KITMRJDH,MISSISSIPPI BLVD.,6745 WOLF RIVER PKWY,MEMPHIS,TN,N
CRDHQFPK,Petersburgh Self Storage,20039 STATE ROUTE 22,PETERSBURG,NY,N
ZQMOPREJ,Acf Property Management,2601 S INTERSTATE 35 E,LEWISVILLE,TX,N
CSAUWIGZ,Denis F. Tarrant NP,52 MEADOWS ST,PEARL RIVER,NY,N
JMBVIEGK,Ray Brien General Contractor,41 MARGARET HENRY RD,DANIELSON,CT,Y
OZVICTLJ,Bonk Creative,7719 KREFELD GLEN DR,CHARLOTTE,NC,N
WGCROQZP,Village Pantry,524 S TILLOTSON AVE,MUNCIE,IN,N
ZTHOQKRE,PHARMALINK FHI INC.,4309 EMPEROR BLVD STE 400,DURHAM,NC,N
UZXPNCBY,Divine Hair Designz,683 INGLESIDE RD,NORFOLK,VA,Y
XKZAGTBO,Roto Lith Printing,200 S RACHAL ST,SINTON,TX,N
TGUPZFER,Scottys Cleaners,3323 KENT AVE,METAIRIE,LA,N
CEMZJGKW,Pier Forty-Four Marina,13575 MINDANAO WAY,MARINA DEL REY,CA,N
MNHTYIKF,Stewart's Motor Sales,1195 MORTON AVE,CAMBRIDGE,OH,N
IXHPLTEV,ROSE PHOTOGRAPHY DESIGN LLC,201 RIVERPLACE UNIT 607,GREENVILLE,SC,N
QCMRJETG,Rem Ventures Inc,12720 GATEWAY DR S,TUKWILA,WA,N
IJAZTRSX,Mike's Weather Center,21 CROSS AVE,SAINT JOHNSBURY,VT,N
GNMKTVLB,Moe's Automotive Service,4037 W FOND DU LAC AVE,MILWAUKEE,WI,N
BIPTWNOV,Rivka Preis OTR,625 PROBASCO ST,CINCINNATI,OH,N
RXQOEHJZ,FORTEVA FINANCIAL SVC.,4445 W 77TH ST STE 220,MINNEAPOLIS,MN,Y
GUKDITRP,Snyder Equipment Inc,2946 LARIMER ST,DENVER,CO,N
HETKLNWM,Snack Queen Vending,1127 SW 21ST AVE,GAINESVILLE,FL,Y
NOWTZLAS,Anat B.,2052 CENTURY PARK E,CENTURY CITY,CA,N
YTGWVFAZ,iphotorodeo.com,180 OAK GROVE RD NW,ADAIRSVILLE,GA,Y
IFSTAYNO,Sprinkler World of Arizona Inc,2114 E INDIAN SCHOOL RD,PHOENIX,AZ,N
VABUXSTF,YFRC ( Youth and Family Resource Center ) students,160 W CERRITOS AVE BLDG 4,ANAHEIM,CA,Y
MJKOGBUE,David N Fields,328 POINT CLEAR DR,ADGER,AL,N
DQMJITGV,UNCLE Moe's Cafe,400 MARKET ST,HARRISBURG,PA,Y
ELTAOHYW,Cash's Automotive,924 ROCKBRIDGE RD,GLASGOW,VA,N
UJPOWGSD,YAP STEVEN M.D.,262 W END AVE APT 2C,NEW YORK,NY,Y
LFYRBITP,Panda Express,2121 MISSION ST,SANTA CRUZ,CA,Y
YHTIQERL,SOMERSET COUNCIL ON ALCOHOLISM,34 W MAIN ST STE 307,SOMERVILLE,NJ,N
AWHTNVSP,The Children's Center,35 LOWELL ST,METHUEN,MA,N
PBHMYSRX,Mclaughlin Plumbing & Heating Co,8649 W CHESTER PIKE,UPPER DARBY,PA,N
FRPODVCH,Hawthorn Suites by Wyndham Augusta,4049 JIMMIE DYESS PKWY,AUGUSTA,GA,N
HOXZKCQP,Social Meds,9201 WARREN PKWY STE 200,FRISCO,TX,N
TWRXYVQP,FARRELL'S ICE CREAM PARLOUR,1820 HIDDEN SPRINGS DR,EL CAJON,CA,Y
THWSNULG,Regal Nails,1275 N HERMITAGE RD,HERMITAGE,PA,Y
CDUYFQOK,EUROGENTEC NORTH AMERICA,11111 FLINTKOTE AVE,SAN DIEGO,CA,N
QIUHPZON,Furniture Components Corp,6261 PRESCOTT CT,CHINO,CA,N
HXNJESQP,ROGER'S CLASSIC,13254 W STAR DR,SHELBY TOWNSHIP,MI,N
ZVDOSBFM,Pilgrim United Church Of Christ,535 STOW ST,FOND DU LAC,WI,N
LZJARCNP,Azerbaljan House Inc,2612 E 14TH ST,BROOKLYN,NY,N
ICEJWMSP,HENDERSONVILLE CARPET CLEANERS,62 MANDALAY DR,HENDERSONVILLE,NC,N
MLFUTBHW,Cosmo Prof,1401 N CARBON ST STE A,MARION,IL,N
MEZRSGDU,CHAMPION CONCEPTS INC.,661 BEVILLE RD,SOUTH DAYTONA,FL,N
SAHFOYXZ,Ameristar Energy Llc,1325 MINK RD,PERKASIE,PA,N
SROLJVQZ,Burger King,2302 N 21ST ST,TAMPA,FL,Y
DOSKBXEU,Village Bowl,1314 S 8TH ST,ABERDEEN,SD,N
TMZDGUIC,Rapid DNA Testing in ATMORE,611 E LAUREL ST,ATMORE,AL,N
XQMFWLND,Home????,130 S 27TH ST,LINCOLN,NE,N
UXJMCDIR,Lynium LLC,2015 N FORBES BLVD STE 109,TUCSON,AZ,N
YQBLMFWE,Tender Love & Care Daycare,1025 N 5TH AVE,DURANT,OK,N
PGWFCKRQ,Patriot Income Tax Svc,3940 W CHICAGO AVE,CHICAGO,IL,N
QLCWXEJZ,PET BOUNDARIES INC.,5510 OLNEY LAYTONSVILLE RD,OLNEY,MD,Y
HUYPFLER,ROMERO IRMA E MD,844 N THORNTON AVE,ORLANDO,FL,N
JZILCGUO,Shirtails,4944 STATE ROUTE 261,NEWBURGH,IN,N
WFVQGERP,Mexican Restaurant,140 PARK RD,WEST HARTFORD,CT,Y
