unique_id,Name,Address,City,State,is_closed
KYEXWRFB,Cold Stone Creamery,1051 N DUPONT HWY,DOVER,DE,Y
RBTOLZHM,Joe's Auto Park,917 S MAIN ST,LOS ANGELES,CA,Y
LGMVJKXF,Flowers Baking Co,1649 S LEE HWY,CLEVELAND,TN,N
YRTVXNOP,Industrial Ceramics,1225 AEROPLAZA DR,COLORADO SPRINGS,CO,N
ENDVKYZS,CHARLES H. STEINMEYER PHD,18 PROSPECT ST,WARREN,PA,N
IOKYHJUS,commercial projection,27005 SCHADY RD,OLMSTED TWP,OH,Y
MOKJRWQZ,Culver Insurance,100 S MERRILL AVE,GLENDIVE,MT,Y
WDYZFRNX,THE CHILDREN'S PLACE,1201 SHOAL CRK,LEWISVILLE,TX,N
FSQTWAKD,KEY DRUG SCREENING INC,311 POPLAR VIEW LN W STE 1,COLLIERVILLE,TN,N
AYRNCULQ,Advanced Aesthetic Dentistry,4330 CALDER AVE,BEAUMONT,TX,N
FIMVAPHB,Hertlein Leonard J,335 NW 50TH ST,TOPEKA,KS,N
DKLVTXEQ,NATHAN P.A. MEASE LLC,9120 FIR DR,THORNTON,CO,N
UTWFALSJ,Knott Teresa H DDS,2121 NORTHWEST HWY STE 112,GARLAND,TX,N
ERIQBHWF,US Post Office,307 LOCKHART ST,MARTINDALE,TX,Y
NAGEZPKB,Spartanburg Regional Medical,2680 BISHOP RD,INMAN,SC,N
QFYXIBER,"Troy Mediterranean Cuisine "" Islands""",346 JOHNNY MERCER BLVD STE B,WILMINGTON ISLAND,GA,N
XOYMDICW,James W Epps Agency,414 N MAIN ST,CREEDMOOR,NC,N
XMGJRWYA,Pho 99 Restaurant,2200 W ALAMEDA AVE,DENVER,CO,N
ENWCXDQI,US Orthopedx,20 E DUNLOUP RD,SHAWNEE,OK,N
UXFHOZWP,Dr. Thomas L. Periou MD,198 BELLE TERRE BLVD,COVINGTON,LA,N
JNGRPALX,Five Guys Burgers and Fries,7091 SECURITY BLVD,WINDSOR MILL,MD,N
XECMNBGV,MERRICK SERVICES LLC,401 WOODLAND OAKS TRL,BUDA,TX,N
QAMLXPFO,Heart of David Ministries,202 S CHURCH ST,FREMONT,NC,N
TDUGFMNC,DOURMASHKIN MICHAEL R M.D.,4230 HEMPSTEAD TPKE STE 200,BETHPAGE,NY,N
QCFKZJEG,SOUTHWEST MISSOURI STATE UNIV.,411 W MAIN ST,WEST PLAINS,MO,N
EXZFGIHT,RESTAURANT,2125 N 14TH ST,PONCA CITY,OK,Y
XIONRQUH,B K Electric,801 W PENNSYLVANIA AVE,DOWNINGTOWN,PA,Y
TAEUOPGK,Rozental Arnie DDS,15 SILVERSPRING DR,LAKEWOOD,NJ,N
WNYTUOKZ,OS CLEANING SPECIALISTS CORP,53 JACKSON AVE,WAYNE,NJ,Y
WXZVEKAC,Works Concepts Inc.,8721 W SUNSET BLVD,WEST HOLLYWOOD,CA,Y
PHMEJDGT,Tracy D. Fountain BHRS,27753 S WELLING RD,WELLING,OK,N
STAQKXDZ,BCI,74 E PLAIN ST,WAYLAND,MA,N
VIQGYAPT,Van Steenberghe,1149 N MOONMIST CT,SARASOTA,FL,N
MBXJFQTP,AHHS,4501 WEST FWY,FORT WORTH,TX,N
WKQMEDZF,KWON STEVE O MD,950 N STATE ST STE B,HEMET,CA,N
UAGQBNIM,Essence of Beauty,200 MEADE ST,TYRONE,PA,N
QLPZSDYC,Outsource Technical LLC,2 CORPORATE PLAZA DR STE 125,NEWPORT BEACH,CA,N
URBVAPIY,Moby's Restaurant,725 PIKE ST STE 10,SEATTLE,WA,N
