unique_id,Name,Address,City,State,is_closed
FCZQIKLD,HINDERLITER ILLUSTRATION,401 WOOD ST STE 800,PITTSBURGH,PA,N
SFUAZPXW,ELLIOT SHEAR DDS PC,35 E ELIZABETH AVE STE 20,BETHLEHEM,PA,N
MRICUHSG,Star Leasing,2440 TRU LN,BROOKFIELD,WI,N
QGTCUIOM,Midnight Logistics Inc.,36646 SULPHUR SPRINGS RD,PALMDALE,CA,N
BXKWJIYP,Hazelrigg Stephen R MD,747 N RUTLEDGE ST,SPRINGFIELD,IL,N
MVZNCXHP,Society For Preservation,93 N COUNTRY RD,EAST SETAUKET,NY,N
LWEQBNFG,Cottage Inn,1489 CEDAR ST,HOLT,MI,Y
FBOEWZCS,A PLUS TRAUMA SOLUTIONS LLC,10205 MILLER RD,SODDY DAISY,TN,Y
UWXNQDBG,Happy Puppy Tutoring,3900 AUSTIN WOODS DR # 3903,AUSTIN,TX,N
CZHOIDNV,Mobile Five Variety Store,3515 W 16TH ST,CHICAGO,IL,N
MKYQWEIG,HENDRIX JAMES B. DVM,436 WILSON RD,NEWBERRY,SC,N
QYIVOXPD,Wheeler's Painters Marts,6401 PENN AVE,PITTSBURGH,PA,Y
PLMBUVDC,Kroger Pharmacy,26130 GRATIOT AVE,ROSEVILLE,MI,N
BTDXWNGL,Springs Crossing,1856 S LAKE DR,LEXINGTON,SC,N
MCTLHFRZ,AMWAY CORP,6450 JIMMY CARTER BLVD,PEACHTREE CORNERS,GA,N
OWJCHUNP,SMITH COAL PROCESSING,3868 MCWHORTER RD,LONDON,KY,N
YZJWPUBS,ORIENTAL HEALING ARTS CORP,742 CAMANO AVE STE 201,LANGLEY,WA,N
JHLDOCBS,COX ENTERPRISES INC.,9090 HOGAN RD,JACKSONVILLE,FL,N
PBNFEKXA,REO Lee County FLREOTeam,1567 HAYLEY LN STE 205,FORT MYERS,FL,N
QCIADPSM,Creative Research Systems,15 LONE OAK CT,PETALUMA,CA,Y
DSTHYRAB,Walker's Diner,307 N MAIN ST,FARMVILLE,VA,N
ORFMZSWY,Miller Keith Plumbing,343 OLD LEECHBURG RD,PITTSBURGH,PA,N
YHIODQZB,Saint Petersburg College,244 2ND AVE N,SAINT PETERSBURG,FL,Y
ZKIGYRWS,All Season Door & Glass,5967 OMAHA BLVD,COLORADO SPRINGS,CO,N
RODLBYMU,COMMERCE CIVIC CENTER & TOURISM AUTHORITY,110 STATE ST,COMMERCE,GA,N
HKPYWQMD,Knoxville Preschool,809 E MAIN ST,KNOXVILLE,IL,N
OMVWUBJN,ALLEGRETTO JOSEPH M.D.,2901 POWDER BASIN AVE,GILLETTE,WY,Y
EJQCILZG,ATK Service,1400 HAMLIN AVE,SAINT CLOUD,FL,N
BFLIWDHU,Colonna Insurance Services Llc,1828 DIXWELL AVE,HAMDEN,CT,N
FVBUHJKI,Glamour Nails,166 SYCAMORE ST STE 160,WILLISTON,VT,N
IFKQZJWC,Birtwell Family Photography,59 WHIP O WILL LN,HARWICH,MA,Y
BJLOAXME,Capellini Clothing Inc.,4701 DISTRIBUTION CT,ORLANDO,FL,N
QNZCGOPL,Helen Saba Enterprises,9419 CHAMBERLAIN ST,ROMULUS,MI,N
PMQJTNOI,Claude Beavers Attorney & Counselor,906 W 12 MILE RD,ROYAL OAK,MI,N
AFHGMBNS,Mc Kinnley Pool,1529 FINDLAY ST,PORTSMOUTH,OH,N
OBPVTQUW,Sweet Coat Painting Inc.,7678 ARMIN CIR,RENO,NV,N
HXMRFLKU,INSURANCE REPORTING ASSOCIATES INC,2840 NORTHAMPTON AVE,ORLANDO,FL,N
JPOQCURE,james g pierson inc,320 SW STARK ST,PORTLAND,OR,N
OVQSFIGM,Cedar Lane Tires Inc,918 CEDAR LANE RD,GREENVILLE,SC,N
EDYUAKNW,Elmers bakery,97 RYAN WAY,HOSCHTON,GA,N
LMBFPGHN,JT'S RESTAURANT LLC,5 SUSAN CIR,ENFIELD,CT,N
ZWXTJYGO,Moore Tambra,357 NAN LINDSEY RD,MORTON,MS,N
RYLDFCVS,Happy Cleaners,1119 7TH ST NW,WASHINGTON,DC,Y
JMYLDOFI,Cucina Deliziosa,46E PENINSULA CTR # 355,ROLLING HILLS ESTATES,CA,N
SRDLEPKI,BERNARD ARONSON,1967 270TH ST,IVANHOE,MN,Y
YJCWBROQ,Locksmith York Locksmiths,1374 YORK AVE,NEW YORK,NY,N
SGNCIBPM,Triple M Oil Tool Inc,8317 ANDREWS HWY,ODESSA,TX,N
ILCZJXKB,G M Bail Bonds,325 E MAIN ST,BOONEVILLE,AR,N
HPDZBINT,Burberry,5715 RICHMOND RD,WILLIAMSBURG,VA,Y
YIJKFPAM,Chevron Food Mart,2203 S ALEXANDER ST,PLANT CITY,FL,N
UGLHIDVW,Domicile Interiors,1650 N COAST HIGHWAY 101,ENCINITAS,CA,N
BNJATFIG,J A BARKELY HOSE CO 1 INC,5670 STATE ROUTE 40,ARGYLE,NY,N
DACEYLXH,Asian Eternity Buffet And Grill,6161 N MAY AVE,OKLAHOMA CITY,OK,N
SOVPLMKF,Angelic Funeral Home,62263 COMMERCIAL ST,ROSELAND,LA,Y
LUHQPXCE,Passion parties rita temple,202 DUNN LOOP,WINNSBORO,LA,N
UCZQVBKN,National Link Inc.,670 E MAIN ST,WELLSVILLE,UT,N
QSYLJZOX,Gonzales A Posh Hair N Affair,6214 1/2 S WESTERN AVE,LOS ANGELES,CA,N
BWFEKHIX,Martin Young Extended Day,30 LOU COURTNEY DR,RANDOLPH,MA,Y
JYVFORAQ,saddleback acceptance corp.,550 PARKCENTER DR,SANTA ANA,CA,Y
BQJTSPUG,Yazdi Paul G MD,3023 N BALLAS RD STE 450,SAINT LOUIS,MO,N
BHEQDFXG,Protect-O-Seal Asphalt Maintenance,38323 APOLLO PKWY STE 8,WILLOUGHBY,OH,N
DVMUTCKH,Rebecca Wellborn Keller Williams Realty,1242 TAYLOR AVE,DUNEDIN,FL,N
FSAPUJET,H&R BLOCK,17 LOCUST ST,ROCHESTER,NY,N
UMWXVQLR,Beddin' Down B&B & Horse Hotel,10401 COUNTY ROAD 160,SALIDA,CO,N
SZTAFXRK,Heintz Polygraph Services,407 CORPORATE CENTER DR,VANDALIA,OH,N
FQALBTHP,Mogo's House,2000 KAKU ST,LIHUE,HI,Y
XGMUOQJW,Watson Health Connection,1623 OLD FOWLKES DR,BRENTWOOD,TN,N
RTUEJIFC,Edmund L. Decker MSW,422 E WASHINGTON ST,EAST PEORIA,IL,N
QZGCWKOU,Mkm Enterprises,30902 KIOWA RIVER CT,TEMECULA,CA,N
OUAGCDLP,Crossroads office,13659 E 104TH WAY,COMMERCE CITY,CO,N
NYETAMVU,LAFARGE FLORIDA,2001 MARITIME BLVD,TAMPA,FL,Y
LKAVHGJI,Assurance Builders Inc,150 S CAMINO SECO STE 104,TUCSON,AZ,N
HDBZOTCL,Woodlawn Playland,826 WOODLAWN AVE,OWOSSO,MI,N
LQKDNVOS,Maid Brigade,3200 JODECO RD STE F,MCDONOUGH,GA,N
BQMASPYK,A Lasting Impression,3495 BUCKHEAD LOOP NE,ATLANTA,GA,N
OHCIPJUG,Barnett Clara M Nd Lac,435 N 34TH ST,SEATTLE,WA,N
IRDKMFYE,BELLAIRE PRESBYTERIAN DAY SCHL.,106 S 3RD ST,BELLAIRE,TX,N
VEGFSPCQ,Knights of Columbus,9505 COLLEGE ST,BEAUMONT,TX,N
